Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
"/security-state-staging/intermediates/a3194256-9f03-4a3b-ac55-7b3c3225d1a6.pem-1,006",1,13,13,13,0,0.00%,76.92308,148.81,31.78,1981
"/security-state-staging/intermediates/9bf8c741-9386-401d-8c59-f5410390ae2f.pem-1,007",1,16,16,16,0,0.00%,62.5,147.71,25.82,2420
"/security-state-staging/intermediates/7afbedd2-ae48-4bc8-8d48-dc64ace9dc35.pem-1,009",1,14,14,14,0,0.00%,71.42857,239.68,29.51,3436
"/security-state-staging/intermediates/fe167bbc-49ae-4867-b511-147e23b615bb.pem-1,008",1,46,46,46,0,0.00%,21.73913,55.18,8.98,2599
"/security-state-staging/intermediates/ba87cd52-2a75-4061-97d5-1f128a3e849d.pem-1,010",1,28,28,28,0,0.00%,35.71429,92.04,14.75,2639
"/security-state-staging/intermediates/0efba185-f867-4720-aca4-8e7d3667ab7c.pem-1,011",1,73,73,73,0,0.00%,13.69863,30.74,5.66,2298
"/security-state-staging/intermediates/a3194256-9f03-4a3b-ac55-7b3c3225d1a6.pem-1,012",1,33,33,33,0,0.00%,30.30303,58.62,12.52,1981
"/security-state-staging/intermediates/6b64ec36-5d65-40d2-a2ce-778dd4f8ebe8.pem-1,013",1,15,15,15,0,0.00%,66.66667,168.95,27.54,2595
"/security-state-staging/intermediates/ce03c78f-04a2-472a-974c-e431282ab41c.pem-1,014",1,53,53,53,0,0.00%,18.86792,41.14,7.79,2233
"/security-state-staging/intermediates/9bf8c741-9386-401d-8c59-f5410390ae2f.pem-1,015",1,103,103,103,0,0.00%,9.70874,22.94,4.01,2420
"/security-state-staging/intermediates/e7df3325-60f1-4ee6-9ef7-fad0411247c9.pem-1,016",1,67,67,67,0,0.00%,14.92537,23.38,6.17,1604
